I (A),H (T),dP/dH
4.8,317.05719999999997,-0.033112
4.8,317.05719999999997,-0.006687
4.8,317.05719999999997,0.009749
4.798,316.928392,0.020706
4.798,316.928392,-0.01571
4.796,316.799584,0.043264
4.796,316.799584,0.024895
4.794,316.670776,0.015549
4.794,316.670776,-0.000241
4.792,316.541968,-0.013776
4.792,316.541968,0.035852
4.79,316.41316,-0.024089
4.79,316.41316,-0.003464
4.788,316.284352,-0.021833
4.788,316.284352,0.066789
4.786,316.15554399999996,-0.004753
4.786,316.15554399999996,-0.036657
4.784,316.02673599999997,0.000403
4.784,316.02673599999997,-0.019899
4.782,315.897928,-0.023444
4.782,315.897928,0.010393
4.78,315.76912,-0.023767
4.78,315.76912,-0.025056
4.778,315.64031199999994,-0.010876
4.778,315.64031199999994,-0.018288
4.776,315.511504,-0.013776
4.776,315.511504,-0.010232
4.774,315.382696,-0.030534
4.774,315.382696,-0.020222
4.772,315.253888,-0.026345
4.772,315.253888,-0.036657
4.77,315.12507999999997,-0.016677
4.77,315.12507999999997,-0.008942
4.768,314.996272,-0.004109
4.768,314.996272,-0.008942
4.766,314.867464,0.059377
4.766,314.867464,-0.010232
4.764,314.738656,-0.0257
4.764,314.738656,0.010716
4.762,314.60984799999994,-0.003464
4.762,314.60984799999994,-0.021833
4.76,314.48103999999995,-0.047936
4.76,314.48103999999995,-0.026989
4.758,314.352232,-0.021833
4.758,314.352232,-0.0228
4.756,314.223424,-0.026022
4.756,314.223424,-0.034401
4.754,314.094616,-0.016999
4.754,314.094616,0.000725
4.752,313.965808,-0.024089
4.752,313.965808,-0.025378
4.75,313.837,-0.021833
4.75,313.837,-0.041169
4.748,313.708192,-0.040524
4.748,313.708192,-0.026022
4.746,313.579384,-0.026989
4.746,313.579384,-0.015388
4.744,313.45057599999996,-0.063082
4.744,313.45057599999996,-0.010554
4.742,313.32176799999996,-0.025056
4.742,313.32176799999996,0.003948
4.74,313.19296,-0.019899
4.74,313.19296,-0.031823
4.738,313.06415200000004,-0.033434
4.738,313.06415200000004,-0.0228
4.736,312.935344,-0.004431
4.736,312.935344,-0.010876
4.734,312.806536,-0.017644
4.734,312.806536,-0.01281
4.732,312.677728,-0.023444
4.732,312.677728,-0.022155
4.73,312.54892,-0.038591
4.73,312.54892,-0.011198
4.728,312.42011199999996,-0.025378
4.728,312.42011199999996,0.002014
4.726,312.29130399999997,-0.021833
4.726,312.29130399999997,-0.019255
4.724,312.162496,-0.021833
4.724,312.162496,-0.026989
4.722,312.03368800000004,-0.01861
4.722,312.03368800000004,-0.019255
4.72,311.90488,-0.007331
4.72,311.90488,0.004593
4.718,311.776072,-0.019899
4.718,311.776072,-0.016999
4.716,311.647264,0.073879
4.716,311.647264,-0.030534
4.714,311.518456,-0.01571
4.714,311.518456,0.059699
4.712,311.38964799999997,-0.022155
4.712,311.38964799999997,-0.01861
4.71,311.26084,0.059055
4.71,311.26084,-0.018288
4.708,311.132032,-0.034079
4.708,311.132032,-0.018933
4.706,311.003224,0.005882
4.706,311.003224,-0.024733
4.704,310.874416,-0.013454
4.704,310.874416,-0.03569
4.702,310.745608,-0.0286
4.702,310.745608,-0.024411
4.7,310.6168,-0.062116
4.7,310.6168,-0.016677
4.698,310.487992,-0.018288
4.698,310.487992,-0.004753
4.696,310.35918399999997,-0.018288
4.696,310.35918399999997,-0.022155
4.694,310.230376,-0.014421
