I (A),H (T),dP/dH
7.3,478.06719999999996,0.025862
7.3,478.06719999999996,-0.020866
7.3,478.06719999999996,-0.036012
7.298,477.93839199999996,-0.013776
7.298,477.93839199999996,-0.028278
7.296,477.809584,0.02554
7.296,477.809584,-0.012487
7.294,477.680776,-0.021833
7.294,477.680776,-0.019255
7.292,477.551968,0.00846
7.292,477.551968,-0.020866
7.29,477.42316,-0.013132
7.29,477.42316,-0.039235
7.288,477.294352,-0.014743
7.288,477.294352,-0.017966
7.286,477.16554399999995,-0.020544
7.286,477.16554399999995,-0.009265
7.284,477.03673599999996,-0.016999
7.284,477.03673599999996,-0.018933
7.282,476.90792799999997,-0.034723
7.282,476.90792799999997,-0.022477
7.28,476.77912,-0.021188
7.28,476.77912,-0.033112
7.278,476.65031199999993,-0.027634
7.278,476.65031199999993,-0.021833
7.276,476.521504,-0.015388
7.276,476.521504,-0.018933
7.274,476.392696,-0.020222
7.274,476.392696,0.008782
7.272,476.263888,-0.037624
7.272,476.263888,-0.024411
7.27,476.13507999999996,-0.001208
7.27,476.13507999999996,-0.016032
7.268,476.00627199999997,-0.024411
7.268,476.00627199999997,-0.016354
7.266,475.877464,0.018772
7.266,475.877464,-0.023122
7.264,475.748656,-0.000564
7.264,475.748656,0.02554
7.262,475.61984799999993,-0.032468
7.262,475.61984799999993,-0.033112
7.26,475.49103999999994,-0.018288
7.26,475.49103999999994,-0.002819
7.258,475.362232,-0.025056
7.258,475.362232,-0.002819
7.256,475.233424,-0.025056
7.256,475.233424,-0.019899
7.254,475.10461599999996,-0.030212
7.254,475.10461599999996,-0.041169
7.252,474.975808,-0.028923
7.252,474.975808,-0.024089
7.25,474.847,-0.046003
7.25,474.847,-0.027634
7.248,474.718192,-0.021833
7.248,474.718192,-0.044714
7.246,474.589384,-0.040846
7.246,474.589384,-0.016999
7.244,474.46057599999995,-0.026345
7.244,474.46057599999995,-0.006687
7.242,474.33176799999995,0.00137
7.242,474.33176799999995,-0.016354
7.24,474.20296,0.015227
7.24,474.20296,-0.012165
7.238,474.074152,-0.028278
7.238,474.074152,-0.043102
7.236,473.945344,-0.019899
7.236,473.945344,-0.025056
7.234,473.816536,-0.019255
7.234,473.816536,-0.028278
7.232,473.687728,-0.024411
7.232,473.687728,-0.019899
7.23,473.55892,-0.050837
7.23,473.55892,-0.023444
7.228,473.43011199999995,-0.010876
7.228,473.43011199999995,-0.014743
7.226,473.30130399999996,-0.020222
7.226,473.30130399999996,-0.023767
7.224,473.17249599999997,-0.044391
7.224,473.17249599999997,-0.022155
7.222,473.04368800000003,-0.020866
7.222,473.04368800000003,-0.027634
7.22,472.91488,-0.023444
7.22,472.91488,-0.022477
7.218,472.786072,-0.016999
7.218,472.786072,-0.01861
7.216,472.657264,-0.017321
7.216,472.657264,-0.019255
7.214,472.528456,-0.071461
7.214,472.528456,-0.010876
7.212,472.39964799999996,-0.021188
7.212,472.39964799999996,-0.029889
7.21,472.27083999999996,-0.021833
7.21,472.27083999999996,-0.009587
7.208,472.142032,-0.01281
7.208,472.142032,-0.050514
7.206,472.013224,-0.017966
7.206,472.013224,-0.01861
7.204,471.884416,0.03553
7.204,471.884416,-0.015388
7.202,471.755608,-0.007653
7.202,471.755608,-0.034401
7.2,471.6268,-0.001208
7.2,471.6268,-0.013132
7.198,471.497992,-0.029889
7.198,471.497992,-0.046647
7.196,471.36918399999996,-0.018933
7.196,471.36918399999996,-0.013454
7.194,471.24037599999997,-0.035046
7.194,471.24037599999997,-0.026989
7.192,471.111568,-0.021511
7.192,471.111568,-0.055348
7.19,470.98276,-0.023767
7.19,470.98276,-0.022155
7.188,470.85395199999994,-0.008942
7.188,470.85395199999994,-0.027956
7.186,470.725144,-0.020866
7.186,470.725144,-0.033112
7.184,470.596336,-0.032145
7.184,470.596336,-0.011198
7.182,470.467528,-0.012165
7.182,470.467528,-0.075006
7.18,470.33871999999997,-0.019577
7.18,470.33871999999997,-0.014099
7.178,470.209912,-0.017966
7.178,470.209912,-0.019577
7.176,470.081104,-0.021188
7.176,470.081104,-0.000564
7.174,469.952296,-0.013132
7.174,469.952296,-0.009909
7.172,469.82348799999994,-0.019577
7.172,469.82348799999994,0.005882
7.17,469.69467999999995,-0.002497
7.17,469.69467999999995,-0.017321
7.168,469.565872,-0.024089
7.168,469.565872,-0.029889
7.166,469.437064,-0.017321
7.166,469.437064,0.004593
7.164,469.308256,-0.023767
7.164,469.308256,-0.020544
7.162,469.179448,-0.001853
7.162,469.179448,-0.018288
7.16,469.05064,-0.01281
7.16,469.05064,-0.013776
7.158,468.921832,-0.015065
7.158,468.921832,-0.048903
7.156,468.79302399999995,-0.017644
7.156,468.79302399999995,-0.086608
7.154,468.66421599999995,-0.024411
7.154,468.66421599999995,-0.020866
7.152,468.53540799999996,-0.027311
7.152,468.53540799999996,-0.023122
7.15,468.4066,-0.006364
7.15,468.4066,-0.025056
7.148,468.277792,-0.026989
7.148,468.277792,-0.006042
7.146,468.148984,-0.022155
7.146,468.148984,0.029084
7.144,468.020176,-0.024411
7.144,468.020176,-0.016999
7.142,467.891368,-0.026667
7.142,467.891368,0.027151
7.14,467.76255999999995,-0.054704
7.14,467.76255999999995,-0.025056
7.138,467.63375199999996,-0.031179
7.138,467.63375199999996,-0.007653
7.136,467.50494399999997,-0.01861
7.136,467.50494399999997,0.005882
7.134,467.376136,-0.0257
7.134,467.376136,-0.007009
7.132,467.247328,-0.010232
7.132,467.247328,-0.016032
7.13,467.11852,0.02844
7.13,467.11852,-0.011521
7.128,466.989712,-0.023767
7.128,466.989712,-0.024411
7.126,466.860904,-0.065661
7.126,466.860904,0.002659
7.124,466.73209599999996,-0.026989
7.124,466.73209599999996,-0.028923
7.122,466.60328799999996,-0.042458
7.122,466.60328799999996,-0.0257
7.12,466.47447999999997,-0.019899
7.12,466.47447999999997,-0.0257
7.118,466.345672,-0.020866
7.118,466.345672,-0.00862
7.116,466.216864,-0.021511
7.116,466.216864,-0.041169
7.114,466.088056,-0.022477
7.114,466.088056,-0.0228
7.112,465.959248,-0.037624
7.112,465.959248,-0.0257
7.11,465.83044,-0.01571
7.11,465.83044,-0.021511
7.108,465.70163199999996,-0.034723
7.108,465.70163199999996,-0.044069
7.106,465.57282399999997,-0.010876
7.106,465.57282399999997,-0.021188
7.104,465.444016,0.007815
7.104,465.444016,-0.017966
7.102,465.315208,0.004593
7.102,465.315208,0.010716
7.1,465.18639999999994,-0.033112
7.1,465.18639999999994,-0.021833
7.098,465.057592,-0.022155
7.098,465.057592,-0.020866
7.096,464.928784,-0.022477
7.096,464.928784,0.018772
7.094,464.799976,-0.006364
7.094,464.799976,-0.025378
7.092,464.67116799999997,-0.072428
7.092,464.67116799999997,-0.0286
7.09,464.54236,-0.022155
7.09,464.54236,-0.029889
7.088,464.413552,-0.017966
7.088,464.413552,-0.012487
7.086,464.284744,-0.005398
7.086,464.284744,-0.027634
7.084,464.15593599999994,-0.025056
7.084,464.15593599999994,-0.043102
7.082,464.02712799999995,-0.006042
7.082,464.02712799999995,-0.031823
7.08,463.89832,-0.020222
7.08,463.89832,-0.08983
7.078,463.769512,-0.020866
7.078,463.769512,-0.021188
7.076,463.64070399999997,-0.0228
7.076,463.64070399999997,8.1e-05
7.074,463.511896,-0.012487
7.074,463.511896,-0.0228
7.072,463.383088,-0.064049
7.072,463.383088,-0.027634
7.07,463.25428,-0.022155
7.07,463.25428,-0.015388
7.068,463.12547199999995,-0.034079
7.068,463.12547199999995,-0.026022
7.066,462.99666399999995,0.002337
7.066,462.99666399999995,-0.036657
7.064,462.86785599999996,0.000403
7.064,462.86785599999996,-0.048903
7.062,462.739048,-0.016677
7.062,462.739048,-0.024089
7.06,462.61024,-0.020222
7.06,462.61024,-0.020222
7.058,462.481432,-0.024089
7.058,462.481432,-0.020222
7.056,462.352624,0.028762
7.056,462.352624,-0.010876
7.054,462.223816,-0.027956
7.054,462.223816,-0.027956
7.052,462.09500799999995,-0.028278
7.052,462.09500799999995,-0.014743
7.05,461.96619999999996,-0.034723
7.05,461.96619999999996,-0.027956
7.048,461.83739199999997,-0.019577
7.048,461.83739199999997,-0.037302
7.046,461.708584,-0.031501
7.046,461.708584,-0.01571
7.044,461.579776,-0.018288
7.044,461.579776,0.007493
7.042,461.450968,-0.020222
7.042,461.450968,-0.019255
7.04,461.32216,-0.002175
7.04,461.32216,-0.013132
7.038,461.193352,-0.026345
7.038,461.193352,8.1e-05
