I (A),H (T),dP/dH
2.2,149.60680000000002,-0.021511
2.2,149.60680000000002,0.164757
2.2,149.60680000000002,0.006204
2.198,149.477992,-0.048903
2.198,149.477992,-0.003786
2.196,149.349184,0.012649
2.196,149.349184,0.034563
2.194,149.220376,0.056799
2.194,149.220376,0.044553
2.192,149.091568,0.115773
2.192,149.091568,0.016838
2.19,148.96276,0.047776
2.19,148.96276,-0.119801
2.188,148.833952,0.046487
2.188,148.833952,0.003948
2.186,148.705144,0.034885
2.186,148.705144,0.03843
2.184,148.576336,0.090314
2.184,148.576336,0.073879
2.182,148.447528,0.050676
2.182,148.447528,0.324921
2.18,148.31872,0.023928
2.18,148.31872,0.088381
2.178,148.189912,0.044553
2.178,148.189912,0.04133
2.176,148.061104,0.087092
2.176,148.061104,-0.004431
2.174,147.932296,0.04552
2.174,147.932296,0.000725
2.172,147.80348800000002,0.033918
2.172,147.80348800000002,-0.012165
2.17,147.67468,-0.075651
2.17,147.67468,0.024895
2.168,147.545872,-0.037302
2.168,147.545872,0.067111
2.166,147.41706399999998,8.1e-05
2.166,147.41706399999998,0.026506
2.164,147.28825600000002,-0.020866
2.164,147.28825600000002,0.042297
2.162,147.159448,0.032629
2.162,147.159448,0.026829
2.16,147.03064,0.029407
2.16,147.03064,-0.005398
2.158,146.90183199999998,0.157022
2.158,146.90183199999998,-0.003786
2.156,146.77302400000002,-0.00572
2.156,146.77302400000002,0.032307
2.154,146.644216,0.247578
2.154,146.644216,0.243067
2.152,146.515408,0.028762
2.152,146.515408,0.038108
2.15,146.3866,0.037786
2.15,146.3866,0.071301
2.148,146.257792,0.071945
2.148,146.257792,0.072912
2.146,146.128984,0.057766
2.146,146.128984,0.02844
2.144,146.000176,0.029084
2.144,146.000176,0.021995
2.142,145.871368,0.204717
2.142,145.871368,0.04842
2.14,145.74256,0.020383
2.14,145.74256,0.015872
2.138,145.613752,-0.023444
2.138,145.613752,0.008137
2.136,145.484944,0.028118
2.136,145.484944,-0.038268
2.134,145.356136,-0.051481
2.134,145.356136,0.044231
2.132,145.227328,-0.027311
2.132,145.227328,0.107716
2.13,145.09851999999998,0.040686
