I (A),H (T),dP/dH
2.6,175.3684,-0.186186
2.6,175.3684,-0.199399
2.6,175.3684,-0.163306
2.598,175.239592,-0.329593
2.598,175.239592,-0.14397
2.596,175.110784,-0.064694
2.596,175.110784,-0.135591
2.594,174.98197599999997,-0.096275
2.594,174.98197599999997,-0.141392
2.592,174.853168,-0.026022
2.592,174.853168,-0.085319
2.59,174.72436,-0.074684
2.59,174.72436,-0.145259
2.588,174.595552,-0.042458
2.588,174.595552,-0.05986
2.586,174.46674399999998,-0.083707
2.586,174.46674399999998,-0.041813
2.584,174.337936,-0.047614
2.584,174.337936,-0.052126
2.582,174.209128,-0.023122
2.582,174.209128,-0.077907
2.58,174.08032,-0.013776
2.58,174.08032,-0.055026
2.578,173.95151199999998,0.007815
2.578,173.95151199999998,-0.061149
2.576,173.822704,-0.081451
2.576,173.822704,-0.005075
2.574,173.693896,-0.040524
2.574,173.693896,0.070012
2.572,173.565088,-0.076617
2.572,173.565088,-0.157827
2.57,173.43627999999998,-0.036335
2.57,173.43627999999998,-0.073395
2.568,173.307472,0.023928
2.568,173.307472,-0.069528
2.566,173.178664,-0.057282
2.566,173.178664,-0.027956
2.564,173.049856,-0.043424
2.564,173.049856,-0.002175
2.562,172.92104799999998,-0.122379
2.562,172.92104799999998,-0.036979
2.56,172.79224,-0.225502
2.56,172.79224,-0.025378
2.558,172.663432,-0.039557
2.558,172.663432,-0.189087
2.556,172.534624,0.036174
2.556,172.534624,0.00846
2.554,172.405816,0.100949
2.554,172.405816,-0.054059
2.552,172.277008,-0.338616
2.552,172.277008,-0.020866
2.55,172.14819999999997,-0.084674
2.55,172.14819999999997,-0.030856
2.548,172.019392,-0.014099
2.548,172.019392,-0.037624
2.546,171.890584,-0.024411
2.546,171.890584,-0.095631
2.544,171.761776,-0.040202
2.544,171.761776,-0.037302
2.542,171.63296799999998,-0.063082
2.542,171.63296799999998,-0.089508
2.54,171.50416,-0.019577
2.54,171.50416,-0.037302
2.538,171.375352,-0.050514
2.538,171.375352,-0.043102
2.536,171.246544,-0.081129
2.536,171.246544,-0.049547
2.534,171.11773599999998,-0.056315
2.534,171.11773599999998,-0.024733
2.532,170.988928,-0.002819
2.532,170.988928,-0.027956
2.53,170.86012,-0.035368
2.53,170.86012,-0.093053
