I (A),H (T),dP/dH
4.0,265.534,-0.057926
4.0,265.534,-0.048581
4.0,265.534,-0.015065
4.0,265.534,0.118673
4.0,265.534,0.08548
3.998,265.405192,0.083869
3.998,265.405192,-0.031823
3.998,265.405192,0.205362
3.998,265.405192,0.088703
3.996,265.276384,0.134142
3.996,265.276384,0.13962
3.996,265.276384,0.138654
3.996,265.276384,0.121896
3.994,265.147576,0.157022
3.994,265.147576,0.198594
3.994,265.147576,0.187637
3.994,265.147576,0.174425
3.992,265.01876799999997,0.162179
3.992,265.01876799999997,0.165401
3.992,265.01876799999997,0.034885
3.992,265.01876799999997,0.192149
3.99,264.88996000000003,0.168624
3.99,264.88996000000003,0.167335
3.99,264.88996000000003,0.155733
3.99,264.88996000000003,0.157989
3.988,264.761152,0.282383
3.988,264.761152,0.171524
3.988,264.761152,0.223731
3.988,264.761152,-0.035368
3.986,264.632344,0.238233
3.986,264.632344,0.312353
3.986,264.632344,0.22083
3.986,264.632344,0.280449
3.984,264.503536,0.316865
3.984,264.503536,0.295273
3.984,264.503536,0.290117
3.984,264.503536,0.337812
3.982,264.374728,0.343612
3.982,264.374728,0.385184
3.982,264.374728,0.385184
3.982,264.374728,0.391307
3.98,264.24592,0.537292
3.98,264.24592,0.442869
3.98,264.24592,0.480574
3.98,264.24592,0.58531
3.978,264.117112,0.55115
3.978,264.117112,0.758043
3.978,264.117112,0.701002
3.978,264.117112,0.62946
3.976,263.98830399999997,0.80316
3.976,263.98830399999997,0.823784
3.976,263.98830399999997,0.855689
3.976,263.98830399999997,0.89855
3.974,263.859496,0.883081
3.974,263.859496,1.042279
3.974,263.859496,1.094164
3.974,263.859496,1.178919
3.972,263.730688,1.405471
3.972,263.730688,1.357454
3.972,263.730688,1.459934
3.972,263.730688,1.579495
3.97,263.60188,1.676174
3.97,263.60188,1.718391
3.97,263.60188,1.93721
3.97,263.60188,2.079007
3.968,263.473072,2.243363
3.968,263.473072,2.44188
3.968,263.473072,2.607204
3.968,263.473072,2.916582
3.966,263.344264,3.112199
3.966,263.344264,3.264633
3.966,263.344264,3.553066
3.966,263.344264,3.586582
3.964,263.21545599999996,3.871793
3.964,263.21545599999996,4.047754
3.964,263.21545599999996,4.21018
3.964,263.21545599999996,4.308796
3.962,263.08664799999997,4.221137
3.962,263.08664799999997,4.370995
3.962,263.08664799999997,4.172474
3.962,263.08664799999997,4.132512
3.96,262.95784,3.9891
3.96,262.95784,3.746429
3.96,262.95784,3.495702
3.96,262.95784,3.224349
3.958,262.829032,2.882421
3.958,262.829032,2.438657
3.958,262.829032,2.0297
3.958,262.829032,1.518586
3.956,262.700224,1.107377
3.956,262.700224,0.616247
3.956,262.700224,0.19086
3.956,262.700224,-0.206167
3.954,262.571416,-0.587402
3.954,262.571416,-0.952845
3.954,262.571416,-1.219032
3.954,262.571416,-1.546449
3.952,262.44260799999995,-1.805223
3.952,262.44260799999995,-2.079144
