I (A),H (T),dP/dH
1.7,117.4048,-0.048581
1.7,117.4048,-0.059538
1.7,117.4048,-0.046969
1.7,117.4048,-0.056315
1.7,117.4048,-0.084674
1.695,117.08278,-0.04568
1.695,117.08278,-0.047936
1.695,117.08278,-0.001208
1.695,117.08278,-0.071461
1.69,116.76075999999999,-0.060504
1.69,116.76075999999999,-0.003786
1.69,116.76075999999999,-0.062438
1.69,116.76075999999999,-0.068239
1.685,116.43874000000001,-0.148804
1.685,116.43874000000001,-0.020222
1.685,116.43874000000001,-0.051481
1.685,116.43874000000001,-0.011198
1.68,116.11672,-0.074362
1.68,116.11672,-0.044069
1.68,116.11672,-0.081129
1.68,116.11672,-0.028923
1.675,115.7947,0.052287
1.675,115.7947,-0.105299
1.675,115.7947,-0.037302
1.675,115.7947,-0.056315
1.67,115.47268,-0.001853
1.67,115.47268,-0.049225
1.67,115.47268,-0.056637
1.67,115.47268,0.027151
1.665,115.15066,-0.048258
1.665,115.15066,0.008137
1.665,115.15066,-0.040846
1.665,115.15066,-0.061793
1.66,114.82864,-0.037946
1.66,114.82864,-0.034079
1.66,114.82864,-0.051481
1.66,114.82864,0.100304
1.655,114.50662,-0.043747
1.655,114.50662,-0.057604
1.655,114.50662,-0.14107
1.655,114.50662,-0.04278
1.65,114.18459999999999,-0.04278
1.65,114.18459999999999,-0.034723
1.65,114.18459999999999,0.039075
1.65,114.18459999999999,-0.054059
1.645,113.86258000000001,-0.057282
1.645,113.86258000000001,-0.056637
1.645,113.86258000000001,-0.029889
1.645,113.86258000000001,-0.036979
1.64,113.54056,-0.046325
1.64,113.54056,-0.071139
1.64,113.54056,-0.056315
1.64,113.54056,-0.020222
1.635,113.21854,0.01845
1.635,113.21854,-0.090475
1.635,113.21854,-0.01571
1.635,113.21854,0.086447
1.63,112.89652,-0.069205
1.63,112.89652,-0.050837
1.63,112.89652,-0.026989
1.63,112.89652,-0.112066
1.625,112.5745,-0.086608
1.625,112.5745,-0.088863
1.625,112.5745,-0.126246
1.625,112.5745,-0.065661
1.62,112.25248,-0.040524
1.62,112.25248,-0.051481
1.62,112.25248,-0.017966
1.62,112.25248,-0.049225
1.615,111.93046,-0.051481
1.615,111.93046,-0.069205
1.615,111.93046,-0.065016
1.615,111.93046,-0.314124
1.61,111.60844,-0.046969
1.61,111.60844,-0.12399
1.61,111.60844,-0.038913
1.61,111.60844,-0.065661
1.605,111.28641999999999,-0.076617
1.605,111.28641999999999,-0.102721
1.605,111.28641999999999,-0.046325
1.605,111.28641999999999,-0.109166
1.6,110.96440000000001,-0.05277
1.6,110.96440000000001,-0.08693
1.6,110.96440000000001,-0.040846
1.6,110.96440000000001,-0.061149
1.595,110.64238,-0.055993
1.595,110.64238,8.1e-05
1.595,110.64238,-0.083063
1.595,110.64238,-0.137525
1.59,110.32036000000001,-0.05277
1.59,110.32036000000001,-0.026345
1.59,110.32036000000001,-0.09402
1.59,110.32036000000001,-0.084996
1.585,109.99834,-0.058249
1.585,109.99834,-0.040524
1.585,109.99834,-0.03988
1.585,109.99834,-0.10691
1.58,109.67632,0.009749
