I (A),H (T),dP/dH
1.0,72.322,-0.075973
1.0,72.322,-0.077907
1.0,72.322,-0.114322
1.0,72.322,-0.054381
1.0,72.322,-0.075973
0.995,71.99998000000001,-0.092086
0.995,71.99998000000001,-0.074362
0.995,71.99998000000001,-0.064049
0.995,71.99998000000001,-0.074362
0.99,71.67796,-0.031823
0.99,71.67796,-0.087252
0.99,71.67796,-0.065661
0.99,71.67796,-0.01281
0.985,71.35594,-0.048258
0.985,71.35594,-0.063082
0.985,71.35594,-0.060504
0.985,71.35594,-0.0228
0.98,71.03392,-0.073073
0.98,71.03392,-0.110777
0.98,71.03392,-0.075006
0.98,71.03392,-0.170073
0.975,70.7119,-0.011198
0.975,70.7119,-0.075973
0.975,70.7119,-0.103043
0.975,70.7119,-0.008298
0.97,70.38987999999999,-0.083063
0.97,70.38987999999999,-0.099498
0.97,70.38987999999999,-0.091119
0.97,70.38987999999999,-0.118511
0.965,70.06786,-0.107877
0.965,70.06786,-0.084996
0.965,70.06786,-0.060504
0.965,70.06786,-0.111422
0.96,69.74584,-0.097887
0.96,69.74584,-0.070817
0.96,69.74584,-0.025056
0.96,69.74584,-0.112389
0.955,69.42381999999999,-0.10401
0.955,69.42381999999999,-0.086285
0.955,69.42381999999999,-0.101754
0.955,69.42381999999999,-0.10981
0.95,69.1018,-0.079196
0.95,69.1018,-0.084352
0.95,69.1018,-0.068239
0.95,69.1018,-0.041169
0.945,68.77978,0.065822
0.945,68.77978,-0.043747
0.945,68.77978,-0.059538
0.945,68.77978,-0.063082
0.94,68.45776,-0.05567
0.94,68.45776,-0.020222
0.94,68.45776,-0.046003
0.94,68.45776,-0.0286
0.935,68.13574,-0.024733
0.935,68.13574,-0.026022
0.935,68.13574,-0.019577
0.935,68.13574,-0.030856
0.93,67.81372,-0.0286
0.93,67.81372,0.017805
0.93,67.81372,-0.054704
0.93,67.81372,-0.047614
0.925,67.49170000000001,-0.075651
0.925,67.49170000000001,-0.033757
0.925,67.49170000000001,-0.054381
0.925,67.49170000000001,-0.045358
0.92,67.16968,-0.011843
0.92,67.16968,-0.038268
0.92,67.16968,-0.065661
0.92,67.16968,-0.049547
0.915,66.84766,-0.088541
0.915,66.84766,-0.036979
0.915,66.84766,-0.057926
0.915,66.84766,-0.044391
0.91,66.52564,-0.140425
0.91,66.52564,-0.036979
0.91,66.52564,-0.023767
0.91,66.52564,-0.040846
0.905,66.20362,-0.005075
0.905,66.20362,-0.050837
0.905,66.20362,-0.040846
0.905,66.20362,-0.0228
0.9,65.8816,-0.05986
0.9,65.8816,-0.056315
0.9,65.8816,-0.047292
0.9,65.8816,-0.07275
0.895,65.55958,-0.178452
0.895,65.55958,0.094181
0.895,65.55958,-0.033757
0.895,65.55958,-0.115289
0.89,65.23756,-0.065661
0.89,65.23756,-0.086608
0.89,65.23756,-0.068561
0.89,65.23756,-0.077907
0.885,64.91554000000001,-0.050837
0.885,64.91554000000001,-0.049547
0.885,64.91554000000001,-0.035046
0.885,64.91554000000001,-0.07275
0.88,64.59352,-0.056637
0.88,64.59352,-0.168784
0.88,64.59352,-0.090475
0.88,64.59352,-0.082096
0.875,64.2715,-0.094342
0.875,64.2715,-0.009265
0.875,64.2715,-0.088219
0.875,64.2715,-0.107232
0.87,63.949479999999994,-0.073395
0.87,63.949479999999994,-0.004753
0.87,63.949479999999994,-0.034079
0.87,63.949479999999994,-0.080807
0.865,63.62745999999999,-0.090797
0.865,63.62745999999999,-0.103043
0.865,63.62745999999999,-0.052126
0.865,63.62745999999999,-0.073073
0.86,63.30544,-0.130435
0.86,63.30544,-0.016354
0.86,63.30544,-0.056315
0.86,63.30544,-0.016354
0.855,62.983419999999995,-0.102398
0.855,62.983419999999995,-0.044391
0.855,62.983419999999995,-0.060182
0.855,62.983419999999995,-0.104977
0.85,62.66139999999999,-0.055348
0.85,62.66139999999999,-0.01571
0.85,62.66139999999999,-0.037946
0.85,62.66139999999999,-0.043747
0.845,62.33937999999999,-0.238393
0.845,62.33937999999999,-0.087252
0.845,62.33937999999999,-0.04568
0.845,62.33937999999999,-0.016677
0.84,62.01736,-0.031179
0.84,62.01736,-0.042135
0.84,62.01736,-0.102076
0.84,62.01736,-0.041491
0.835,61.695339999999995,-0.067916
0.835,61.695339999999995,-0.097887
0.835,61.695339999999995,-0.0228
0.835,61.695339999999995,-0.084352
0.83,61.37331999999999,-0.019899
0.83,61.37331999999999,-0.062438
0.83,61.37331999999999,-0.063082
0.83,61.37331999999999,-0.043102
0.825,61.05129999999999,-0.052126
0.825,61.05129999999999,-0.053737
0.825,61.05129999999999,0.094504
0.825,61.05129999999999,-0.051803
0.82,60.729279999999996,-0.046647
0.82,60.729279999999996,-0.011521
0.82,60.729279999999996,-0.045358
0.82,60.729279999999996,-0.048258
0.815,60.407259999999994,-0.057926
0.815,60.407259999999994,-0.010232
0.815,60.407259999999994,-0.087252
0.815,60.407259999999994,-0.058571
0.81,60.08524,-0.08983
0.81,60.08524,-0.074362
0.81,60.08524,-0.097564
0.81,60.08524,-0.075973
0.805,59.76322,-0.068561
0.805,59.76322,-0.060182
0.805,59.76322,-0.062116
0.805,59.76322,-0.071461
0.8,59.4412,-0.066305
0.8,59.4412,-0.061471
0.8,59.4412,-0.070172
0.8,59.4412,-0.135269
0.795,59.11918,-0.062116
0.795,59.11918,-0.041169
0.795,59.11918,0.010393
0.795,59.11918,-0.046969
0.79,58.79716,-0.101432
0.79,58.79716,-0.058893
0.79,58.79716,-0.046647
0.79,58.79716,-0.052448
0.785,58.475139999999996,-0.034723
0.785,58.475139999999996,-0.043747
0.785,58.475139999999996,-0.057926
0.785,58.475139999999996,-0.187475
0.78,58.15312,-0.085641
0.78,58.15312,-0.036657
0.78,58.15312,-0.043102
0.78,58.15312,-0.166528
0.775,57.8311,-0.014099
0.775,57.8311,-0.046003
0.775,57.8311,-0.04987
0.775,57.8311,-0.139459
0.77,57.50908,-0.126568
0.77,57.50908,-0.099176
