I (A),H (T),dP/dH
4.4,291.29560000000004,0.04552
4.4,291.29560000000004,-0.132691
4.4,291.29560000000004,0.005559
4.398,291.166792,0.019417
4.398,291.166792,0.00846
4.396,291.037984,-0.001208
4.396,291.037984,-0.006687
4.394,290.909176,-0.007009
4.394,290.909176,-0.016354
4.392,290.780368,-0.009909
4.392,290.780368,-0.006687
4.39,290.65155999999996,0.056477
4.39,290.65155999999996,-0.061793
4.388,290.52275199999997,-0.016354
4.388,290.52275199999997,-0.023444
4.386,290.393944,-0.014421
4.386,290.393944,0.081291
4.384,290.265136,-0.016677
4.384,290.265136,-0.017966
4.382,290.136328,-0.014099
4.382,290.136328,0.015872
4.38,290.00752,0.005559
4.38,290.00752,-0.010232
4.378,289.878712,0.030696
4.378,289.878712,-0.023444
4.376,289.749904,-0.01281
4.376,289.749904,0.000403
4.374,289.62109599999997,0.001692
4.374,289.62109599999997,-0.019255
4.372,289.492288,0.013294
4.372,289.492288,-0.020866
4.37,289.36348,-0.021833
4.37,289.36348,-0.01861
4.368,289.234672,-0.105621
4.368,289.234672,-0.043747
4.366,289.105864,-0.019899
4.366,289.105864,-0.036979
4.364,288.977056,-0.047936
4.364,288.977056,-0.034401
4.362,288.848248,-0.139781
4.362,288.848248,-0.009909
4.36,288.71944,-0.021833
4.36,288.71944,0.029729
4.358,288.59063199999997,-0.024733
4.358,288.59063199999997,-0.003464
4.356,288.461824,-0.029889
4.356,288.461824,-0.037946
4.354,288.333016,-0.044391
4.354,288.333016,-0.011843
4.352,288.204208,-0.017321
4.352,288.204208,0.020383
4.35,288.07539999999995,-0.054059
4.35,288.07539999999995,-0.03569
4.348,287.946592,-0.013776
4.348,287.946592,-0.027634
4.346,287.817784,0.019739
4.346,287.817784,-0.015388
4.344,287.688976,-0.015388
4.344,287.688976,-0.026022
4.342,287.560168,-0.036657
4.342,287.560168,-0.049547
4.34,287.43136,-0.069528
4.34,287.43136,-0.026989
4.338,287.302552,-0.016354
4.338,287.302552,0.020383
4.336,287.173744,-0.026989
4.336,287.173744,-0.018933
4.334,287.04493599999995,0.091603
4.334,287.04493599999995,-0.001853
4.332,286.91612799999996,-0.015388
4.332,286.91612799999996,-0.013776
4.33,286.78732,-0.009587
4.33,286.78732,-0.132046
4.328,286.65851200000003,-0.020866
4.328,286.65851200000003,-0.019899
4.326,286.529704,0.050998
4.326,286.529704,0.102882
4.324,286.400896,-0.036979
4.324,286.400896,-0.031179
4.322,286.272088,-0.011198
4.322,286.272088,0.026829
4.32,286.14328,0.012005
4.32,286.14328,-0.013776
4.318,286.01447199999996,0.021028
4.318,286.01447199999996,0.09966
4.316,285.88566399999996,-0.015065
4.316,285.88566399999996,-0.024411
4.314,285.75685599999997,-0.019577
4.314,285.75685599999997,-0.031823
4.312,285.62804800000004,-0.005075
4.312,285.62804800000004,-0.030212
4.31,285.49924,-0.027311
4.31,285.49924,-0.112389
4.308,285.370432,-0.019255
4.308,285.370432,-0.082096
4.306,285.241624,-0.034723
4.306,285.241624,-0.001853
4.304,285.112816,-0.058249
4.304,285.112816,-0.009587
4.302,284.98400799999996,-0.007976
4.302,284.98400799999996,0.007171
4.3,284.85519999999997,0.02554
4.3,284.85519999999997,-0.006364
4.298,284.726392,0.000725
4.298,284.726392,-0.003786
4.296,284.597584,0.002981
4.296,284.597584,-0.036979
4.294,284.468776,-0.001853
4.294,284.468776,-0.069528
4.292,284.339968,-0.047936
4.292,284.339968,-0.021188
4.29,284.21116,-0.026989
4.29,284.21116,-0.038591
4.288,284.082352,0.057766
4.288,284.082352,-0.010876
4.286,283.95354399999997,-0.017966
4.286,283.95354399999997,-0.047936
4.284,283.824736,-0.026022
4.284,283.824736,-0.000564
4.282,283.695928,0.182803
4.282,283.695928,-0.036979
4.28,283.56712,-0.007653
4.28,283.56712,-0.115611
4.278,283.43831199999994,-0.005075
4.278,283.43831199999994,-0.002175
4.276,283.309504,-0.002819
4.276,283.309504,0.009749
4.274,283.180696,-0.029245
4.274,283.180696,-0.047936
4.272,283.051888,0.025862
4.272,283.051888,-0.023444
4.27,282.92307999999997,-0.011521
4.27,282.92307999999997,-0.003786
4.268,282.794272,-0.016032
4.268,282.794272,0.018128
4.266,282.665464,0.002659
4.266,282.665464,0.005559
4.264,282.536656,0.025217
4.264,282.536656,0.015549
4.262,282.40784799999994,0.068078
4.262,282.40784799999994,0.010716
4.26,282.27903999999995,0.07259
4.26,282.27903999999995,0.102238
4.258,282.150232,0.022961
4.258,282.150232,0.148966
4.256,282.021424,0.147355
4.256,282.021424,0.254023
4.254,281.892616,0.25918
4.254,281.892616,0.406454
4.252,281.763808,0.496365
4.252,281.763808,0.635583
4.25,281.635,0.885337
4.25,281.635,0.982983
4.248,281.506192,1.138636
4.248,281.506192,1.289134
4.246,281.377384,1.3726
4.246,281.377384,1.470569
4.244,281.24857599999996,1.554036
4.244,281.24857599999996,1.559836
4.242,281.11976799999997,1.602698
4.242,281.11976799999997,1.649749
4.24,280.99096000000003,1.646204
4.24,280.99096000000003,1.635891
4.238,280.86215200000004,1.66844
4.238,280.86215200000004,1.520198
4.236,280.733344,1.527288
4.236,280.733344,1.405471
4.234,280.604536,1.30428
4.234,280.604536,1.209212
4.232,280.475728,1.115111
4.232,280.475728,1.00683
4.23,280.34692,0.925942
4.23,280.34692,0.872446
4.228,280.21811199999996,0.872446
4.228,280.21811199999996,0.90854
4.226,280.08930399999997,0.919174
4.226,280.08930399999997,0.811538
4.224,279.960496,0.711637
4.224,279.960496,0.537615
4.222,279.83168800000004,0.331044
4.222,279.83168800000004,0.122218
4.22,279.70288,-0.002497
4.22,279.70288,-0.200688
4.218,279.574072,-0.425304
4.218,279.574072,-0.346673
4.216,279.445264,-0.492012
4.216,279.445264,-0.418537
4.214,279.316456,-0.480411
4.214,279.316456,-0.415959
4.212,279.18764799999997,-0.485567
4.212,279.18764799999997,-0.487823
4.21,279.05884,-0.304134
4.21,279.05884,-0.265141
4.208,278.930032,0.007493
4.208,278.930032,0.158312
4.206,278.801224,0.398397
4.206,278.801224,0.600456
4.204,278.672416,0.810249
4.204,278.672416,0.841831
4.202,278.543608,1.030033
4.202,278.543608,0.795103
4.2,278.4148,0.633971
4.2,278.4148,0.507
4.198,278.285992,0.380028
4.198,278.285992,0.260469
4.196,278.157184,-0.111744
4.196,278.157184,-0.08983
4.194,278.028376,-0.196821
4.194,278.028376,-0.389211
4.192,277.899568,-0.534551
4.192,277.899568,-0.67409
4.19,277.77076,-0.749499
4.19,277.77076,-0.805572
4.188,277.64195199999995,-0.855523
4.188,277.64195199999995,-0.884526
4.186,277.513144,-0.867769
4.186,277.513144,-0.988616
4.184,277.384336,-0.817174
4.184,277.384336,-0.798483
4.182,277.255528,-0.774635
4.182,277.255528,-0.7553
4.18,277.12672,-0.653465
4.18,277.12672,-0.732097
4.178,276.997912,-0.721462
4.178,276.997912,-0.746599
4.176,276.869104,-0.698904
4.176,276.869104,-0.642186
4.174,276.740296,-0.601903
4.174,276.740296,-0.47171
4.172,276.61148799999995,-0.386955
4.172,276.61148799999995,-0.266752
4.17,276.48267999999996,-0.30639
4.17,276.48267999999996,-0.322825
4.168,276.353872,-0.392112
4.168,276.353872,-0.386633
4.166,276.22506400000003,-0.420148
4.166,276.22506400000003,-0.406936
4.164,276.096256,-0.333138
4.164,276.096256,-0.350862
4.162,275.967448,-0.327337
4.162,275.967448,-0.114322
4.16,275.83864,-0.098209
4.16,275.83864,-0.064049
4.158,275.709832,-0.017966
4.158,275.709832,-0.034723
4.156,275.58102399999996,0.016838
4.156,275.58102399999996,0.257568
4.154,275.45221599999996,0.197628
4.154,275.45221599999996,0.339745
4.152,275.323408,0.344257
4.152,275.323408,0.40452
4.15,275.19460000000004,0.384218
4.15,275.19460000000004,0.418377
4.148,275.065792,0.32331
4.148,275.065792,0.255313
4.146,274.936984,0.147999
4.146,274.936984,0.133175
4.144,274.808176,0.036819
4.144,274.808176,-0.065338
4.142,274.679368,-0.127213
4.142,274.679368,-0.081129
4.14,274.55055999999996,-0.316058
4.14,274.55055999999996,-0.443351
4.138,274.42175199999997,-0.540029
4.138,274.42175199999997,-0.584824
4.136,274.292944,-0.602226
4.136,274.292944,-0.7611
4.134,274.164136,-0.826842
4.134,274.164136,-0.861323
4.132,274.035328,-0.875503
4.132,274.035328,-0.856812
4.13,273.90652,-0.898706
4.13,273.90652,-0.881304
4.128,273.777712,-0.895805
4.128,273.777712,-0.90644
4.126,273.648904,-0.835865
4.126,273.648904,-0.666033
4.124,273.52009599999997,-0.639286
4.124,273.52009599999997,-0.717917
4.122,273.391288,-0.696648
4.122,273.391288,-0.648309
4.12,273.26248,-0.51167
4.12,273.26248,-0.656366
4.118,273.133672,-0.633807
4.118,273.133672,-0.626395
4.116,273.004864,-0.656043
4.116,273.004864,-0.558076
4.114,272.876056,-0.77818
4.114,272.876056,-0.479444
4.112,272.747248,-0.479444
4.112,272.747248,-0.364719
4.11,272.61844,-0.2993
4.11,272.61844,-0.289632
4.108,272.489632,-0.245483
4.108,272.489632,-0.243227
4.106,272.360824,-0.178774
4.106,272.360824,-0.152349
4.104,272.232016,-0.13398
4.104,272.232016,-0.19521
4.102,272.103208,-0.13108
4.102,272.103208,-0.129468
4.1,271.97439999999995,-0.110133
4.1,271.97439999999995,-0.095309
4.098,271.845592,-0.063727
4.098,271.845592,-0.075006
4.096,271.716784,-0.023122
4.096,271.716784,-0.106588
4.094,271.587976,-0.052448
4.094,271.587976,0.047453
4.092,271.459168,-0.042458
4.092,271.459168,0.053899
4.09,271.33036,-0.027956
4.09,271.33036,-0.114967
4.088,271.201552,-0.024411
4.088,271.201552,-0.062116
4.086,271.072744,0.036174
4.086,271.072744,-0.009265
4.084,270.94393599999995,-0.035046
4.084,270.94393599999995,-0.021833
4.082,270.81512799999996,-0.016032
4.082,270.81512799999996,-0.0228
4.08,270.68632,-0.009265
4.08,270.68632,-0.028923
4.078,270.55751200000003,0.047131
4.078,270.55751200000003,-0.030212
4.076,270.428704,-0.017966
