I (A),H (T),dP/dH
1.5,104.524,-0.077957
1.5,104.524,-0.101797
1.5,104.524,-0.076185
1.5,104.524,-0.037042
1.5,104.524,0.006451
1.498,104.395192,8e-06
1.498,104.395192,-0.004181
1.498,104.395192,-0.040263
1.498,104.395192,-0.033337
1.496,104.266384,-0.00563
1.496,104.266384,-0.052667
1.496,104.266384,-0.002409
1.496,104.266384,-0.044612
1.494,104.137576,-0.082467
1.494,104.137576,-0.046868
1.494,104.137576,-0.059754
1.494,104.137576,-0.064748
1.492,104.008768,-0.046868
1.492,104.008768,-0.039297
1.492,104.008768,-0.060238
1.492,104.008768,-0.046707
1.49,103.87996,-0.052344
1.49,103.87996,0.075556
1.49,103.87996,-0.019
1.49,103.87996,-0.049606
1.488,103.751152,-0.04719
1.488,103.751152,-0.072319
1.488,103.751152,-0.043646
1.488,103.751152,-0.062332
1.486,103.622344,-0.052989
1.486,103.622344,-0.091649
1.486,103.622344,-0.039136
1.486,103.622344,0.066535
1.484,103.493536,-0.0517
1.484,103.493536,-0.140135
1.484,103.493536,-0.056372
1.484,103.493536,-0.039619
1.482,103.364728,-0.051378
1.482,103.364728,0.032224
1.482,103.364728,-0.07393
1.482,103.364728,-0.051217
1.48,103.23592,0.097302
1.48,103.23592,-0.061687
1.48,103.23592,-0.061526
1.48,103.23592,-0.064104
1.478,103.107112,-0.050411
1.478,103.107112,-0.047995
1.478,103.107112,-0.056049
1.478,103.107112,-0.053311
1.476,102.978304,0.000974
1.476,102.978304,-0.019484
1.476,102.978304,-0.068131
1.476,102.978304,-0.038975
1.474,102.849496,-0.092293
1.474,102.849496,-0.153505
1.474,102.849496,-0.068775
1.474,102.849496,-0.055727
1.472,102.720688,-0.066359
1.472,102.720688,-0.109207
1.472,102.720688,-0.003214
1.472,102.720688,-0.062815
1.47,102.59188,-0.045257
1.47,102.59188,-0.003375
1.47,102.59188,0.009189
1.47,102.59188,-0.055083
1.468,102.463072,-0.076024
1.468,102.463072,-0.213427
1.468,102.463072,-0.061526
1.468,102.463072,-0.036236
1.466,102.334264,-0.103891
1.466,102.334264,-0.082306
1.466,102.334264,-0.046868
1.466,102.334264,-0.049123
1.464,102.205456,-0.041069
1.464,102.205456,-0.062815
1.464,102.205456,-0.096803
1.464,102.205456,-0.071836
1.462,102.076648,-0.113234
1.462,102.076648,-0.197802
1.462,102.076648,-0.092132
1.462,102.076648,-0.095837
1.46,101.94784,-0.09632
1.46,101.94784,-0.120644
1.46,101.94784,-0.068292
1.46,101.94784,-0.097931
1.458,101.81903199999999,-0.073124
1.458,101.81903199999999,-0.099703
1.458,101.81903199999999,-0.159948
1.458,101.81903199999999,-0.184271
1.456,101.690224,-0.110173
