I (A),H (T),dP/dH
3.9,259.0936,-0.00153
3.9,259.0936,-0.022155
3.9,259.0936,0.019739
3.9,259.0936,0.00137
3.9,259.0936,-0.019255
3.898,258.964792,0.009104
3.898,258.964792,-0.012487
3.898,258.964792,0.037463
3.898,258.964792,-0.010876
3.896,258.835984,0.051321
3.896,258.835984,-0.102398
3.896,258.835984,-0.0228
3.896,258.835984,-0.006364
3.894,258.707176,-0.053415
3.894,258.707176,-0.015388
3.894,258.707176,-0.006364
3.894,258.707176,-0.067272
3.892,258.57836799999995,-0.070172
3.892,258.57836799999995,0.080646
3.892,258.57836799999995,-0.029245
3.892,258.57836799999995,-0.040202
3.89,258.44955999999996,-0.114967
3.89,258.44955999999996,-0.03279
3.89,258.44955999999996,-0.020222
3.89,258.44955999999996,-0.071461
3.888,258.32075199999997,-0.045036
3.888,258.32075199999997,-0.054381
3.888,258.32075199999997,0.01136
3.888,258.32075199999997,0.007815
3.886,258.191944,0.037141
3.886,258.191944,-0.052448
3.886,258.191944,0.070334
3.886,258.191944,-0.0257
3.884,258.063136,-0.115289
3.884,258.063136,-0.091442
3.884,258.063136,-0.003786
3.884,258.063136,-0.052448
3.882,257.934328,-0.043424
3.882,257.934328,0.036496
3.882,257.934328,-0.010876
3.882,257.934328,0.013294
3.88,257.80551999999994,-0.036012
3.88,257.80551999999994,-0.016677
3.88,257.80551999999994,-0.007976
3.88,257.80551999999994,-0.015388
3.878,257.676712,-0.138814
3.878,257.676712,0.004593
3.878,257.676712,-0.011198
3.878,257.676712,0.066145
3.876,257.54790399999996,-0.018288
3.876,257.54790399999996,-0.024733
3.876,257.54790399999996,-0.261596
3.876,257.54790399999996,-0.016032
3.874,257.41909599999997,0.037786
3.874,257.41909599999997,-0.260307
3.874,257.41909599999997,-0.029889
3.874,257.41909599999997,-0.045036
3.872,257.290288,-0.083385
3.872,257.290288,0.054865
3.872,257.290288,-0.074684
3.872,257.290288,-0.041169
3.87,257.16148,-0.022477
3.87,257.16148,-0.036335
3.87,257.16148,-0.103687
3.87,257.16148,0.026506
3.868,257.032672,-0.006042
3.868,257.032672,-0.025378
3.868,257.032672,-0.029567
3.868,257.032672,-0.058249
3.866,256.903864,-0.047614
3.866,256.903864,-0.008298
3.866,256.903864,-0.029245
3.866,256.903864,-0.002819
3.864,256.77505599999995,0.052932
3.864,256.77505599999995,-0.043747
3.864,256.77505599999995,-0.019899
3.864,256.77505599999995,-0.061149
3.862,256.64624799999996,-0.013776
3.862,256.64624799999996,0.138009
3.862,256.64624799999996,-0.014099
3.862,256.64624799999996,8.1e-05
3.86,256.51743999999997,0.026829
3.86,256.51743999999997,-0.031501
3.86,256.51743999999997,-0.037946
3.86,256.51743999999997,-0.066627
3.858,256.388632,-0.020544
3.858,256.388632,0.002659
3.858,256.388632,-0.060827
3.858,256.388632,-0.023122
3.856,256.259824,-0.014421
3.856,256.259824,-0.014421
3.856,256.259824,-0.098531
3.856,256.259824,-0.026989
3.854,256.131016,-0.063082
3.854,256.131016,-0.001853
3.854,256.131016,-0.170073
3.854,256.131016,-0.002175
3.852,256.002208,-0.038591
3.852,256.002208,-0.029889
3.852,256.002208,-0.032145
