I (A),H (T),dP/dH
5.8,381.46119999999996,-0.018288
5.8,381.46119999999996,-0.031501
5.8,381.46119999999996,-0.020222
5.798,381.33239199999997,-0.048903
5.798,381.33239199999997,-0.033112
5.796,381.203584,-0.04987
5.796,381.203584,-0.03569
5.794,381.074776,-0.030856
5.794,381.074776,-0.016677
5.792,380.945968,-0.006042
5.792,380.945968,0.006848
5.79,380.81716,-0.034079
5.79,380.81716,0.042619
5.788,380.688352,-0.011198
5.788,380.688352,-0.021188
5.786,380.55954399999996,-0.035046
5.786,380.55954399999996,-0.025378
5.784,380.43073599999997,-0.0257
5.784,380.43073599999997,0.017483
5.782,380.301928,-0.029889
5.782,380.301928,-0.0286
5.78,380.17312,0.010071
5.78,380.17312,-0.020544
5.778,380.04431199999993,-0.022155
5.778,380.04431199999993,0.000403
5.776,379.915504,-0.014099
5.776,379.915504,-0.017644
5.774,379.786696,-0.021511
5.774,379.786696,-0.029567
5.772,379.657888,0.042942
5.772,379.657888,-0.023444
5.77,379.52907999999996,-0.027311
5.77,379.52907999999996,-0.056637
5.768,379.400272,-0.019255
5.768,379.400272,-0.043424
5.766,379.271464,-0.020544
5.766,379.271464,-0.033434
5.764,379.142656,-0.033112
5.764,379.142656,-0.016032
5.762,379.01384799999994,-0.023444
5.762,379.01384799999994,-0.071784
5.76,378.88503999999995,-0.033757
5.76,378.88503999999995,0.048098
5.758,378.756232,-0.015065
5.758,378.756232,-0.022477
5.756,378.627424,0.033596
5.756,378.627424,-0.007331
5.754,378.49861599999997,-0.034401
5.754,378.49861599999997,-0.067272
5.752,378.369808,-0.023767
5.752,378.369808,-0.01571
5.75,378.241,-0.024089
5.75,378.241,-0.020866
5.748,378.112192,-0.054381
5.748,378.112192,-0.013132
5.746,377.983384,-0.020544
5.746,377.983384,-0.063082
5.744,377.85457599999995,-0.015065
5.744,377.85457599999995,-0.0228
5.742,377.72576799999996,8.1e-05
5.742,377.72576799999996,-0.017321
5.74,377.59696,-0.020866
5.74,377.59696,-0.031501
5.738,377.46815200000003,-0.017966
5.738,377.46815200000003,-0.029889
5.736,377.339344,-0.004431
5.736,377.339344,-0.025378
5.734,377.210536,-0.029245
5.734,377.210536,-0.005075
5.732,377.081728,-0.020222
5.732,377.081728,-0.025378
5.73,376.95292,-0.019899
5.73,376.95292,-0.0228
5.728,376.82411199999996,-0.00153
5.728,376.82411199999996,-0.019899
5.726,376.69530399999996,-0.021511
5.726,376.69530399999996,-0.024411
5.724,376.566496,-0.021188
5.724,376.566496,0.00427
5.722,376.43768800000004,-0.027634
5.722,376.43768800000004,-0.01571
5.72,376.30888,-0.026022
5.72,376.30888,-0.004431
5.718,376.180072,-0.029889
5.718,376.180072,-0.028278
5.716,376.051264,-0.025378
5.716,376.051264,-0.024089
5.714,375.922456,-0.016677
5.714,375.922456,-0.020222
5.712,375.79364799999996,-0.01861
5.712,375.79364799999996,-0.017966
5.71,375.66483999999997,-0.024733
5.71,375.66483999999997,-0.009587
5.708,375.536032,-0.043102
5.708,375.536032,-0.023444
5.706,375.407224,-0.009587
5.706,375.407224,-0.026345
5.704,375.278416,-0.017321
5.704,375.278416,-0.030856
5.702,375.149608,-0.022477
5.702,375.149608,0.001692
5.7,375.0208,-0.033757
5.7,375.0208,0.00137
5.698,374.891992,-0.021833
5.698,374.891992,-0.019899
5.696,374.76318399999997,-0.004753
5.696,374.76318399999997,-0.047936
5.694,374.634376,-0.028278
5.694,374.634376,-0.023444
5.692,374.505568,-0.034723
5.692,374.505568,0.005559
5.69,374.37676,-0.023122
5.69,374.37676,0.020061
5.688,374.24795199999994,-0.017644
5.688,374.24795199999994,-0.025056
5.686,374.119144,-0.0228
5.686,374.119144,-0.063405
5.684,373.990336,-0.015065
5.684,373.990336,-0.018288
5.682,373.861528,-0.023767
5.682,373.861528,-0.0228
5.68,373.73272,-0.022477
5.68,373.73272,-0.01571
5.678,373.603912,-0.027634
5.678,373.603912,-0.026989
5.676,373.475104,-0.023767
5.676,373.475104,-0.031501
5.674,373.346296,-0.025056
5.674,373.346296,-0.020544
5.672,373.21748799999995,-0.039557
5.672,373.21748799999995,-0.004431
5.67,373.08867999999995,-0.047614
5.67,373.08867999999995,-0.07275
5.668,372.959872,-0.016999
5.668,372.959872,-0.038268
5.666,372.831064,-0.048581
5.666,372.831064,-0.035046
5.664,372.702256,-0.027634
5.664,372.702256,-0.029889
5.662,372.573448,-0.024733
5.662,372.573448,-0.017966
5.66,372.44464,0.064856
5.66,372.44464,-0.007331
5.658,372.315832,-0.016354
5.658,372.315832,0.00137
5.656,372.18702399999995,-0.030212
5.656,372.18702399999995,-0.025056
5.654,372.05821599999996,-0.034401
5.654,372.05821599999996,-0.024733
5.652,371.92940799999997,-0.009587
5.652,371.92940799999997,-0.0228
