I (A),H (T),dP/dH
2.1,143.1664,-0.437873
2.1,143.1664,-0.413703
2.1,143.1664,-0.308324
2.1,143.1664,-0.432716
2.1,143.1664,-0.415959
2.098,143.037592,-0.302845
2.098,143.037592,-0.244194
2.098,143.037592,-0.26224
2.098,143.037592,-0.22228
2.096,142.908784,-0.19811
2.096,142.908784,-0.208745
2.096,142.908784,-0.090152
2.096,142.908784,-0.09982
2.094,142.77997599999998,0.08967
2.094,142.77997599999998,-0.030534
2.094,142.77997599999998,-0.006687
2.094,142.77997599999998,-0.036012
2.092,142.651168,-0.055348
2.092,142.651168,-0.017644
2.092,142.651168,0.026506
2.092,142.651168,0.044231
2.09,142.52236,0.022639
2.09,142.52236,0.012971
2.09,142.52236,0.04133
2.09,142.52236,0.027151
2.088,142.393552,0.003948
2.088,142.393552,0.003948
2.088,142.393552,-0.029889
2.088,142.393552,-0.055993
2.086,142.26474399999998,-0.038268
2.086,142.26474399999998,0.037463
2.086,142.26474399999998,0.018128
2.086,142.26474399999998,0.03843
2.084,142.13593600000002,0.020706
2.084,142.13593600000002,0.024573
2.084,142.13593600000002,0.019417
2.084,142.13593600000002,0.021672
2.082,142.007128,0.164435
2.082,142.007128,0.014905
2.082,142.007128,-0.015065
2.082,142.007128,0.051321
2.08,141.87832,0.016838
2.08,141.87832,0.029407
2.08,141.87832,0.051321
2.08,141.87832,0.022639
2.078,141.74951199999998,0.005882
2.078,141.74951199999998,0.079357
2.078,141.74951199999998,-0.032145
2.078,141.74951199999998,-0.063727
2.076,141.620704,-0.006687
2.076,141.620704,-0.010232
2.076,141.620704,0.077101
2.076,141.620704,0.031985
2.074,141.491896,0.050354
2.074,141.491896,-0.203266
2.074,141.491896,0.01845
2.074,141.491896,0.021995
2.072,141.363088,0.064856
2.072,141.363088,0.034563
2.072,141.363088,0.214707
2.072,141.363088,0.000403
2.07,141.23427999999998,0.029084
2.07,141.23427999999998,-0.188442
2.07,141.23427999999998,0.062922
2.07,141.23427999999998,8.1e-05
2.068,141.105472,-0.208745
2.068,141.105472,0.035852
2.068,141.105472,0.029084
2.068,141.105472,0.02135
2.066,140.976664,0.015872
2.066,140.976664,0.078068
2.066,140.976664,0.131564
2.066,140.976664,0.026184
2.064,140.847856,0.054865
2.064,140.847856,0.038108
2.064,140.847856,-0.013454
2.064,140.847856,0.013938
2.062,140.719048,0.002659
2.062,140.719048,0.021028
2.062,140.719048,0.022961
2.062,140.719048,0.034563
2.06,140.59024,-0.095631
2.06,140.59024,0.136398
2.06,140.59024,0.023928
2.06,140.59024,0.070012
2.058,140.461432,0.005882
2.058,140.461432,0.074201
2.058,140.461432,0.054221
2.058,140.461432,0.047131
2.056,140.332624,0.034241
