I (A),H (T),dP/dH
1.3,91.64320000000001,0.03134
1.3,91.64320000000001,-0.034079
1.3,91.64320000000001,-0.007653
1.298,91.514392,0.016194
1.298,91.514392,-0.0257
1.296,91.38558400000001,-0.105299
1.296,91.38558400000001,-0.21809
1.294,91.256776,-0.010554
1.294,91.256776,-0.040846
1.292,91.12796800000001,0.019417
1.292,91.12796800000001,0.015549
1.29,90.99916,-0.07275
1.29,90.99916,0.01426
1.288,90.870352,0.031663
1.288,90.870352,-0.003464
1.286,90.741544,-0.004753
1.286,90.741544,0.019417
1.284,90.612736,-0.088219
1.284,90.612736,0.071945
1.282,90.483928,0.023928
1.282,90.483928,0.011038
1.28,90.35512,0.116095
1.28,90.35512,-0.05567
1.278,90.22631200000001,0.026184
1.278,90.22631200000001,0.026829
1.276,90.097504,0.01426
1.276,90.097504,0.024895
1.274,89.96869600000001,0.042942
1.274,89.96869600000001,0.008782
1.272,89.839888,0.023284
1.272,89.839888,0.062922
1.27,89.71108000000001,-0.002819
1.27,89.71108000000001,-0.005398
1.268,89.582272,0.00427
1.268,89.582272,-0.020544
1.266,89.453464,-0.000886
1.266,89.453464,-0.005075
1.264,89.324656,-0.022477
1.264,89.324656,-0.020544
1.262,89.195848,-0.014421
1.262,89.195848,-0.010232
1.26,89.06704,-0.104332
1.26,89.06704,0.021995
1.258,88.938232,-0.000564
1.258,88.938232,-0.000886
1.256,88.809424,0.009749
1.256,88.809424,0.033596
1.254,88.680616,-0.214545
1.254,88.680616,-0.026345
1.252,88.55180800000001,0.011038
1.252,88.55180800000001,-0.029567
1.25,88.423,0.01426
1.25,88.423,0.032952
1.248,88.294192,0.061311
1.248,88.294192,-0.062116
1.246,88.165384,-0.002819
1.246,88.165384,0.022317
1.244,88.036576,-0.015065
1.244,88.036576,0.20794
1.242,87.907768,0.011682
1.242,87.907768,0.221797
1.24,87.77896,0.014905
1.24,87.77896,0.019417
1.238,87.650152,0.005882
1.238,87.650152,-0.019255
1.236,87.521344,0.029407
1.236,87.521344,0.016838
1.234,87.392536,-0.033112
1.234,87.392536,0.008137
1.232,87.263728,0.199561
1.232,87.263728,-0.008298
1.23,87.13492,-0.016354
1.23,87.13492,-0.10691
1.228,87.006112,-0.030856
1.228,87.006112,0.156378
1.226,86.877304,0.060022
1.226,86.877304,-0.021188
1.224,86.748496,0.145099
1.224,86.748496,0.047776
1.222,86.619688,0.010071
1.222,86.619688,0.006526
1.22,86.49088,0.001692
1.22,86.49088,0.025217
1.218,86.362072,0.094826
1.218,86.362072,0.002981
1.216,86.233264,0.010071
1.216,86.233264,0.027151
1.214,86.104456,-0.075006
1.214,86.104456,-0.077907
1.212,85.975648,0.041653
1.212,85.975648,-0.037946
1.21,85.84684,-0.304779
1.21,85.84684,-0.010232
1.208,85.718032,0.034563
1.208,85.718032,0.053576
1.206,85.589224,0.024251
1.206,85.589224,-0.003464
1.204,85.460416,0.002659
1.204,85.460416,0.02135
1.202,85.331608,0.002981
1.202,85.331608,0.003303
1.2,85.2028,0.012327
1.2,85.2028,-0.026989
1.198,85.073992,0.009426
1.198,85.073992,0.011682
1.196,84.945184,-0.052448
1.196,84.945184,-0.053092
1.194,84.816376,-0.000886
1.194,84.816376,-0.077262
1.192,84.687568,-0.01861
