I (A),H (T),dP/dH
8.0,523.15,-0.016032
8.0,523.15,-0.027311
8.0,523.15,-0.078873
7.98,521.86192,-0.110455
7.98,521.86192,-0.008298
7.96,520.57384,0.040041
7.96,520.57384,0.036496
7.94,519.28576,-0.046647
7.94,519.28576,-0.00862
7.92,517.99768,0.035852
7.92,517.99768,-0.000241
7.9,516.7096,0.018772
7.9,516.7096,0.01845
7.88,515.42152,0.082258
7.88,515.42152,0.007815
7.86,514.13344,0.026506
7.86,514.13344,0.009104
7.84,512.8453599999999,-0.048258
7.84,512.8453599999999,0.142521
7.82,511.55728,0.033274
7.82,511.55728,-0.005398
7.8,510.26919999999996,-0.01861
7.8,510.26919999999996,-0.027311
7.78,508.98112,0.029407
7.78,508.98112,-0.00862
7.76,507.69303999999994,0.048098
7.76,507.69303999999994,-0.00153
7.74,506.40496,0.120607
7.74,506.40496,-0.023122
7.72,505.11688,0.005882
7.72,505.11688,-0.020544
7.7,503.8288,-0.013132
7.7,503.8288,0.009426
7.68,502.54071999999996,0.042297
7.68,502.54071999999996,0.02135
7.66,501.25264,0.025217
7.66,501.25264,0.037141
7.64,499.96455999999995,-0.048258
7.64,499.96455999999995,0.001048
7.62,498.67647999999997,-0.059538
7.62,498.67647999999997,0.002014
7.6,497.38839999999993,0.012005
7.6,497.38839999999993,0.007815
7.58,496.10032,0.034241
7.58,496.10032,0.005237
7.56,494.81224,0.002014
7.56,494.81224,-0.009265
7.54,493.52416,-0.002497
7.54,493.52416,0.018772
7.52,492.23607999999996,0.014583
7.52,492.23607999999996,0.037141
7.5,490.948,-0.019899
7.5,490.948,0.010071
7.48,489.65992,0.025862
7.48,489.65992,-0.080485
7.46,488.37183999999996,0.008137
7.46,488.37183999999996,0.003948
7.44,487.08376,0.014905
7.44,487.08376,0.005559
7.42,485.79567999999995,0.004593
7.42,485.79567999999995,0.005559
7.4,484.5076,0.030696
7.4,484.5076,0.00427
7.38,483.21952,-0.016999
7.38,483.21952,-0.004431
7.36,481.93144,-0.016677
7.36,481.93144,-0.077262
7.34,480.64336,0.039075
7.34,480.64336,-0.04568
7.32,479.35528,0.025862
7.32,479.35528,0.104494
7.3,478.06719999999996,-0.050192
7.3,478.06719999999996,0.005882
7.28,476.77912,-0.008942
7.28,476.77912,0.040686
7.26,475.49103999999994,0.007815
7.26,475.49103999999994,-0.046969
7.24,474.20296,0.047131
7.24,474.20296,0.042942
7.22,472.91488,-0.057926
7.22,472.91488,-0.088541
7.2,471.6268,0.05551
7.2,471.6268,0.184737
7.18,470.33871999999997,-0.027311
7.18,470.33871999999997,-0.096275
7.16,469.05064,0.046164
7.16,469.05064,0.008782
7.14,467.76255999999995,-0.015065
7.14,467.76255999999995,0.020061
7.12,466.47447999999997,0.008137
7.12,466.47447999999997,-0.013776
7.1,465.18639999999994,0.029084
7.1,465.18639999999994,0.014905
7.08,463.89832,0.01136
7.08,463.89832,-0.019255
7.06,462.61024,0.012649
7.06,462.61024,-0.006364
7.04,461.32216,0.008137
7.04,461.32216,-0.047292
7.02,460.03407999999996,-0.093375
7.02,460.03407999999996,0.002981
7.0,458.746,0.03134
7.0,458.746,-0.010554
6.98,457.45792,0.01136
6.98,457.45792,0.039719
6.96,456.16983999999997,-0.070817
6.96,456.16983999999997,0.00137
6.94,454.88176,0.018772
6.94,454.88176,-0.008942
6.92,453.59367999999995,-0.221635
6.92,453.59367999999995,-0.008942
6.9,452.3056,0.002337
6.9,452.3056,0.014583
6.88,451.01752,0.026506
6.88,451.01752,0.003303
6.86,449.72944,0.018772
6.86,449.72944,0.041975
6.84,448.44136,0.009104
6.84,448.44136,-0.003786
6.82,447.15328,0.138331
6.82,447.15328,0.009749
6.8,445.86519999999996,-0.038591
6.8,445.86519999999996,-0.094986
6.78,444.57712,-0.032468
6.78,444.57712,0.047776
6.76,443.28903999999994,0.046809
6.76,443.28903999999994,-0.004753
6.74,442.00096,0.039719
6.74,442.00096,0.013938
6.72,440.71288,0.017161
6.72,440.71288,0.013294
6.7,439.4248,0.039397
6.7,439.4248,0.16089
6.68,438.13671999999997,-0.008942
6.68,438.13671999999997,0.016194
6.66,436.84864,-0.006687
6.66,436.84864,-0.047292
6.64,435.56055999999995,0.022317
6.64,435.56055999999995,0.074201
6.62,434.27248,0.005559
6.62,434.27248,0.010393
6.6,432.98439999999994,-0.004431
6.6,432.98439999999994,-0.039235
6.58,431.69632,0.007493
6.58,431.69632,0.050031
6.56,430.40824,-0.229047
6.56,430.40824,-0.016354
6.54,429.12016,-0.016677
6.54,429.12016,0.058088
6.52,427.83207999999996,0.030696
6.52,427.83207999999996,0.012649
6.5,426.544,0.006848
6.5,426.544,-0.004431
6.48,425.25592,0.058088
6.48,425.25592,-0.000886
6.46,423.96783999999997,-0.009587
6.46,423.96783999999997,0.140909
6.44,422.67976,-0.011198
6.44,422.67976,-0.037302
6.42,421.39167999999995,-0.169751
6.42,421.39167999999995,0.026506
6.4,420.10360000000003,0.006526
6.4,420.10360000000003,-0.036979
6.38,418.81552,0.019739
6.38,418.81552,0.002981
6.36,417.52744,0.034885
6.36,417.52744,0.022317
6.34,416.23936,-0.019255
6.34,416.23936,0.064533
6.32,414.95128,0.008137
6.32,414.95128,-0.020866
6.3,413.66319999999996,0.012971
6.3,413.66319999999996,-0.123668
6.28,412.37512,-0.016032
6.28,412.37512,0.000403
6.26,411.08703999999994,0.009749
6.26,411.08703999999994,0.000403
6.24,409.79896,-0.022477
6.24,409.79896,0.035852
6.22,408.51088,0.018128
6.22,408.51088,-0.001853
