I (A),H (T),dP/dH
3.4,226.89159999999998,0.053899
3.4,226.89159999999998,0.000403
3.4,226.89159999999998,0.094504
3.398,226.762792,0.096115
3.398,226.762792,-0.099176
3.396,226.633984,0.042297
3.396,226.633984,0.059055
3.394,226.505176,0.020706
3.394,226.505176,0.074846
3.392,226.37636799999999,-0.01571
3.392,226.37636799999999,0.070656
3.39,226.24756,-0.077584
3.39,226.24756,0.005882
3.388,226.118752,0.085158
3.388,226.118752,0.056477
3.386,225.989944,0.014583
3.386,225.989944,0.040364
3.384,225.861136,0.130275
3.384,225.861136,0.039075
3.382,225.732328,0.050998
3.382,225.732328,0.054221
3.38,225.60351999999997,0.01426
3.38,225.60351999999997,-0.00862
3.378,225.474712,0.035207
3.378,225.474712,0.052287
3.376,225.345904,0.032629
3.376,225.345904,0.059055
3.374,225.217096,0.03134
3.374,225.217096,0.071301
3.372,225.08828799999998,0.111584
3.372,225.08828799999998,0.060022
3.37,224.95948,0.059699
3.37,224.95948,0.072268
3.368,224.830672,0.067434
3.368,224.830672,0.025862
3.366,224.701864,0.060344
3.366,224.701864,0.054865
3.364,224.57305599999998,0.044553
3.364,224.57305599999998,0.010716
3.362,224.444248,0.074523
3.362,224.444248,0.065178
3.36,224.31544,0.122863
3.36,224.31544,0.037141
3.358,224.186632,0.167335
3.358,224.186632,0.05551
3.356,224.05782399999998,0.091926
3.356,224.05782399999998,0.069367
3.354,223.929016,0.073234
3.354,223.929016,0.057443
3.352,223.800208,0.098371
3.352,223.800208,0.036496
3.35,223.6714,0.051965
3.35,223.6714,0.088381
3.348,223.54259199999998,0.198917
3.348,223.54259199999998,0.026829
3.346,223.413784,0.061311
3.346,223.413784,0.154122
3.344,223.28497599999997,0.079357
3.344,223.28497599999997,0.015872
3.342,223.156168,0.063889
3.342,223.156168,0.12254
3.34,223.02736,0.125763
3.34,223.02736,0.093215
3.338,222.898552,0.078068
3.338,222.898552,0.221797
3.336,222.76974399999997,0.144777
3.336,222.76974399999997,0.090314
3.334,222.640936,0.091926
3.334,222.640936,0.077424
3.332,222.512128,0.057121
3.332,222.512128,0.025862
3.33,222.38332,0.112228
3.33,222.38332,0.116417
3.328,222.25451199999998,0.086769
3.328,222.25451199999998,0.112228
3.326,222.12570399999998,0.063244
3.326,222.12570399999998,0.114162
3.324,221.996896,0.12963
3.324,221.996896,0.118351
3.322,221.868088,0.132853
3.322,221.868088,0.079035
3.32,221.73927999999998,0.117062
3.32,221.73927999999998,0.144454
3.318,221.610472,0.172813
3.318,221.610472,0.128019
3.316,221.481664,0.147032
3.316,221.481664,0.127374
3.314,221.352856,0.17668
3.314,221.352856,0.13672
3.312,221.22404799999998,0.249834
3.312,221.22404799999998,0.089025
3.31,221.09524,0.123829
3.31,221.09524,0.162823
3.308,220.966432,0.150255
3.308,220.966432,0.154767
3.306,220.837624,0.27207
3.306,220.837624,0.168624
3.304,220.70881599999998,0.227598
3.304,220.70881599999998,0.144777
3.302,220.580008,0.196661
3.302,220.580008,0.196016
3.3,220.45119999999997,0.198594
3.3,220.45119999999997,0.182159
3.298,220.322392,0.25209
3.298,220.322392,0.168946
3.296,220.193584,0.230498
3.296,220.193584,0.243067
3.294,220.064776,0.254346
3.294,220.064776,0.573708
3.292,219.93596799999997,0.179581
3.292,219.93596799999997,0.053254
3.29,219.80716,0.210518
3.29,219.80716,0.297529
3.288,219.678352,0.267881
3.288,219.678352,0.290439
3.286,219.549544,0.283349
3.286,219.549544,0.275293
3.284,219.42073599999998,0.330722
3.284,219.42073599999998,0.282383
3.282,219.29192799999998,0.29624
3.282,219.29192799999998,0.323632
3.28,219.16312,0.384218
3.28,219.16312,0.363593
3.278,219.034312,0.386796
3.278,219.034312,0.446092
3.276,218.90550399999998,0.40742
3.276,218.90550399999998,0.408709
3.274,218.776696,0.538904
3.274,218.776696,0.560173
3.272,218.647888,0.536648
3.272,218.647888,0.410321
3.27,218.51908,0.576608
3.27,218.51908,0.619147
3.268,218.39027199999998,0.637516
3.268,218.39027199999998,0.79188
3.266,218.261464,0.742574
3.266,218.261464,0.828296
3.264,218.13265599999997,0.85311
3.264,218.13265599999997,0.850532
3.262,218.003848,0.975893
3.262,218.003848,1.076117
3.26,217.87503999999998,1.188587
3.26,217.87503999999998,1.24595
3.258,217.746232,1.269153
3.258,217.746232,1.477659
3.256,217.61742399999997,1.631057
3.256,217.61742399999997,1.784133
3.254,217.488616,2.015521
3.254,217.488616,2.194056
3.252,217.359808,2.49022
3.252,217.359808,2.894345
3.25,217.231,3.439949
3.25,217.231,4.098351
3.248,217.102192,4.895338
3.248,217.102192,5.554397
3.246,216.97338399999998,6.468389
3.246,216.97338399999998,7.251545
3.244,216.84457600000002,7.818775
3.244,216.84457600000002,8.049537
3.242,216.715768,7.963162
3.242,216.715768,7.546762
3.24,216.58696,6.944727
3.24,216.58696,6.263416
3.238,216.45815199999998,5.486396
3.238,216.45815199999998,4.688114
3.236,216.32934400000002,3.690676
3.236,216.32934400000002,2.482164
3.234,216.200536,1.07934
3.234,216.200536,-0.347962
3.232,216.071728,-2.030805
3.232,216.071728,-3.706229
3.23,215.94292,-5.264997
3.23,215.94292,-6.462194
3.228,215.814112,-7.207585
3.228,215.814112,-7.773479
3.226,215.685304,-8.018078
3.226,215.685304,-8.37708
3.224,215.556496,-8.362578
3.224,215.556496,-8.555615
3.222,215.427688,-8.719649
3.222,215.427688,-8.863379
3.22,215.29888,-8.952325
3.22,215.29888,-8.844688
3.218,215.170072,-8.646172
3.218,215.170072,-8.328096
3.216,215.041264,-7.903996
3.216,215.041264,-7.333268
3.214,214.912456,-6.817004
3.214,214.912456,-6.295907
3.212,214.783648,-5.71745
3.212,214.783648,-5.155106
3.21,214.65483999999998,-4.695564
3.21,214.65483999999998,-4.203475
3.208,214.52603200000001,-3.668525
3.208,214.52603200000001,-3.090715
3.206,214.397224,-2.500981
3.206,214.397224,-1.948951
3.204,214.268416,-1.354059
3.204,214.268416,-0.992483
3.202,214.13960799999998,-0.679246
3.202,214.13960799999998,-0.349251
3.2,214.01080000000002,-0.131402
3.2,214.01080000000002,0.016838
3.198,213.881992,0.189893
3.198,213.881992,0.253379
3.196,213.753184,0.225664
3.196,213.753184,0.207295
3.194,213.62437599999998,0.273359
3.194,213.62437599999998,0.301396
3.192,213.495568,0.290117
3.192,213.495568,0.303007
3.19,213.36676,0.209551
3.19,213.36676,0.283027
3.188,213.237952,0.285605
3.188,213.237952,0.345546
3.186,213.109144,0.297207
3.186,213.109144,0.206329
3.184,212.980336,0.342646
3.184,212.980336,0.269814
3.182,212.851528,0.27207
3.182,212.851528,0.237266
3.18,212.72272,0.228887
3.18,212.72272,0.233076
3.178,212.593912,0.218252
3.178,212.593912,0.227276
3.176,212.465104,0.233399
3.176,212.465104,0.211485
3.174,212.336296,0.214707
3.174,212.336296,0.201495
3.172,212.207488,0.16669
3.172,212.207488,0.229209
3.17,212.07868,0.187637
3.17,212.07868,0.187637
3.168,211.949872,0.188282
3.168,211.949872,0.090636
3.166,211.82106399999998,0.16089
3.166,211.82106399999998,0.111261
3.164,211.69225600000001,0.156378
3.164,211.69225600000001,0.122218
3.162,211.563448,0.116095
3.162,211.563448,0.1538
3.16,211.43464,0.153478
3.16,211.43464,0.142198
3.158,211.30583199999998,0.082258
3.158,211.30583199999998,0.14381
3.156,211.17702400000002,0.104816
3.156,211.17702400000002,0.125119
3.154,211.048216,0.071301
3.154,211.048216,0.126085
3.152,210.919408,0.128986
3.152,210.919408,0.07968
3.15,210.79059999999998,0.089992
3.15,210.79059999999998,0.126085
3.148,210.661792,0.155411
3.148,210.661792,0.111906
3.146,210.532984,0.041653
3.146,210.532984,0.176036
3.144,210.404176,0.047131
3.144,210.404176,0.218575
3.142,210.275368,0.101271
3.142,210.275368,0.108361
3.14,210.14656,0.137687
3.14,210.14656,0.102238
3.138,210.017752,0.015549
3.138,210.017752,0.101916
3.136,209.888944,0.141554
3.136,209.888944,0.043908
3.134,209.760136,0.096115
3.134,209.760136,0.101271
3.132,209.631328,0.084836
3.132,209.631328,0.053899
3.13,209.50251999999998,0.083547
3.13,209.50251999999998,0.083547
3.128,209.373712,0.077424
3.128,209.373712,0.078391
3.126,209.244904,0.076779
3.126,209.244904,0.082902
3.124,209.116096,0.055188
3.124,209.116096,0.105783
3.122,208.98728799999998,-0.00862
3.122,208.98728799999998,0.042297
3.12,208.85848000000001,0.082902
3.12,208.85848000000001,0.098693
3.118,208.729672,0.012649
3.118,208.729672,0.082258
3.116,208.600864,0.097082
3.116,208.600864,0.033274
3.114,208.47205599999998,0.14961
3.114,208.47205599999998,0.068723
3.112,208.343248,0.07259
3.112,208.343248,0.178614
3.11,208.21444,0.105783
3.11,208.21444,0.053254
3.108,208.085632,0.039075
3.108,208.085632,0.037786
3.106,207.95682399999998,0.03134
3.106,207.95682399999998,0.038108
3.104,207.828016,0.060988
3.104,207.828016,0.016194
3.102,207.699208,-0.118834
3.102,207.699208,0.082902
3.1,207.5704,0.107394
3.1,207.5704,0.037463
3.098,207.44159199999999,0.054865
3.098,207.44159199999999,0.051965
3.096,207.312784,0.027795
3.096,207.312784,0.168946
3.094,207.18397599999997,0.056154
3.094,207.18397599999997,0.046164
3.092,207.055168,0.10675
3.092,207.055168,0.046487
3.09,206.92636,0.025862
3.09,206.92636,0.052932
3.088,206.797552,0.081935
3.088,206.797552,-0.001853
3.086,206.66874399999998,-0.03988
3.086,206.66874399999998,0.077424
3.084,206.539936,0.074846
3.084,206.539936,0.023606
3.082,206.411128,0.064856
3.082,206.411128,-0.075006
3.08,206.28232,0.005237
3.08,206.28232,0.023606
3.078,206.15351199999998,0.037141
3.078,206.15351199999998,0.060988
3.076,206.02470399999999,0.029729
3.076,206.02470399999999,0.036174
3.074,205.895896,0.031663
3.074,205.895896,0.038108
3.072,205.767088,0.039719
3.072,205.767088,-0.011521
3.07,205.63827999999998,0.022639
3.07,205.63827999999998,0.056477
3.068,205.509472,0.042942
3.068,205.509472,-0.004431
3.066,205.380664,0.04842
3.066,205.380664,0.005237
3.064,205.251856,0.030696
3.064,205.251856,0.060666
3.062,205.12304799999998,0.063244
3.062,205.12304799999998,0.062277
3.06,204.99424,0.012649
3.06,204.99424,0.046487
3.058,204.865432,0.095793
3.058,204.865432,0.009749
3.056,204.736624,0.065822
3.056,204.736624,0.09257
